no.,latitude(N),longitude(E),time_windows,weight(tons),collection_time(h)
1,54.103792,2.097207,"[8.7,20.3]",0.76,0.61
2,54.721889,7.516137,"[8.0,12.0]",0.64,0.58
3,54.804643,2.203673,"[8.7,14.9]",4.29,1.78
4,54.377512,0.982754,"[8.9,20.5]",5.43,1.41
5,53.739029,1.963906,"[8.9,19.2]",3.81,1.56
6,53.78988,-0.440882,"[8.9,18.5]",2.25,1.06
7,53.704898,2.896086,"[8.6,18.9]",4.23,1.34
8,55.182993,4.662498,"[8.3,18.5]",1.99,0.87
9,55.039504,6.934355,"[8.5,17.9]",0.4,0.5
10,53.579579,4.96871,"[8.9,13.7]",1.17,0.74
11,53.570636,1.381475,"[8.3,16.2]",3.28,1.15
12,54.363583,1.398948,"[8.3,13.2]",2.11,0.76
13,53.73297,3.424887,"[8.8,12.4]",2.71,1.23
14,53.386332,3.571559,"[8.4,18.7]",4.15,1.59
15,54.765335,2.785961,"[8.6,20.2]",4.54,1.6
16,54.205763,7.507595,"[8.6,17.5]",1.36,0.77
17,52.997648,2.841068,"[8.0,19.6]",0.26,0.5
18,55.515175,2.670013,"[8.4,18.6]",3.31,1.24
19,54.348008,3.758655,"[8.2,12.8]",5.28,1.8
20,54.253987,2.71444,"[8.8,18.9]",0.39,0.5
21,54.367733,4.054301,"[8.6,15.4]",5.25,1.58
22,55.431792,4.12946,"[8.2,13.4]",5.18,1.8
23,56.0,5.363623,"[8.1,19.9]",2.66,1.05
24,52.900848,2.427312,"[8.8,20.0]",1.27,0.83
25,54.224259,6.674552,"[8.4,18.1]",4.82,1.8
26,55.361423,3.391241,"[8.6,16.7]",3.13,1.18
27,54.397694,3.245457,"[8.5,19.1]",4.86,1.15
28,55.241703,1.317572,"[8.6,14.3]",4.5,1.16
29,54.433341,6.244419,"[8.8,20.3]",1.89,1.04
30,53.454937,3.43821,"[8.5,19.0]",2.7,0.85
31,53.646505,6.182918,"[8.3,13.6]",2.7,1.3
32,54.632881,5.532768,"[8.2,12.8]",2.56,1.25
33,53.87813,4.04294,"[8.8,18.2]",2.79,1.01
34,54.618792,2.445224,"[8.0,18.0]",5.31,1.8
35,53.712741,3.676453,"[8.3,12.5]",3.38,1.29
36,54.839506,3.78124,"[8.5,18.0]",5.29,1.8
37,52.5,3.309577,"[8.7,15.6]",4.93,1.25
38,54.161491,7.92857,"[8.3,15.0]",4.51,1.37
39,53.355583,1.647819,"[8.7,20.6]",0.9,0.64
40,52.529459,2.480358,"[8.1,17.4]",1.54,0.77
41,52.871778,6.542726,"[8.6,18.2]",0.3,0.5
42,53.547082,6.365774,"[8.3,15.4]",1.0,0.73
43,54.788265,3.065395,"[8.6,19.3]",3.73,1.11
44,54.076399,4.586844,"[8.0,16.9]",1.76,0.87
45,52.758777,3.527275,"[8.7,17.2]",1.41,0.75
46,54.362075,3.874812,"[8.3,18.0]",2.57,1.11
